shipment_id,order_id,order_date,customer_name,customer_type,country,region_name,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,delivery_performance,days_vs_expected,order_value
"16","17","2025-08-14","NorthStar Air Systems","Airline","United States","North America","2025-08-20","2025-08-23","2025-08-24","Delivered","Late","1","345590.55"
"50","53","2025-02-15","NorthStar Air Systems","Airline","United States","North America","2025-02-25","2025-03-02","2025-03-01","Delivered","On-Time / Early","-1","469762.20"
"120","126","2025-12-16","NorthStar Air Systems","Airline","United States","North America","2025-12-22","2025-12-29","2025-12-28","Delivered","On-Time / Early","-1","252594.42"
"223","238","2026-02-09","NorthStar Air Systems","Airline","United States","North America","2026-02-11","2026-02-16","2026-02-16","Delivered","On-Time / Early","0","173596.52"
"273","289","2025-12-26","NorthStar Air Systems","Airline","United States","North America","2025-12-30","2026-01-05","2026-01-05","Delivered","On-Time / Early","0","297326.53"
"283","300","2025-02-26","NorthStar Air Systems","Airline","United States","North America","2025-03-08","2025-03-14","2025-03-13","Delivered","On-Time / Early","-1","261626.19"
"567","600","2026-01-30","NorthStar Air Systems","Airline","United States","North America","2026-02-02","2026-02-08","2026-02-08","Delivered","On-Time / Early","0","71254.34"
"604","640","2026-02-03","NorthStar Air Systems","Airline","United States","North America","2026-02-05","2026-02-11","2026-02-09","Delivered","On-Time / Early","-2","291312.49"
"689","734","2026-06-06","NorthStar Air Systems","Airline","United States","North America","2026-06-09","2026-06-16","2026-06-18","Delivered","Late","2","30517.86"
"817","872","2026-11-30","NorthStar Air Systems","Airline","United States","North America","2026-12-06","2026-12-13","2026-12-13","Delivered","On-Time / Early","0","290492.13"
"845","901","2025-03-01","NorthStar Air Systems","Airline","United States","North America","2025-03-04","2025-03-10","2025-03-09","Delivered","On-Time / Early","-1","141924.36"
"872","929","2025-01-03","NorthStar Air Systems","Airline","United States","North America","2025-01-09","2025-01-13","2025-01-13","Delivered","On-Time / Early","0","233304.99"
"878","936","2025-02-16","NorthStar Air Systems","Airline","United States","North America","2025-02-18","2025-02-23","2025-02-26","Delivered","Late","3","357463.80"
"888","947","2025-11-18","NorthStar Air Systems","Airline","United States","North America","2025-11-25","2025-11-30","2025-11-30","Delivered","On-Time / Early","0","427932.82"
"1042","1112","2026-10-14","NorthStar Air Systems","Airline","United States","North America","2026-10-23","2026-10-26","2026-10-29","Delivered","Late","3","377413.78"
"1186","1262","2025-11-06","NorthStar Air Systems","Airline","United States","North America","2025-11-13","2025-11-19","2025-11-18","Delivered","On-Time / Early","-1","302117.22"
"1358","1442","2026-08-20","NorthStar Air Systems","Airline","United States","North America","2026-08-23","2026-08-28","2026-08-28","Delivered","On-Time / Early","0","227702.73"
"1400","1484","2026-03-22","NorthStar Air Systems","Airline","United States","North America","2026-03-27","2026-03-31","2026-03-30","Delivered","On-Time / Early","-1","68271.37"
"1530","1622","2025-06-09","NorthStar Air Systems","Airline","United States","North America","2025-06-11","2025-06-16","2025-06-15","Delivered","On-Time / Early","-1","312840.88"
"7","8","2026-05-16","BlueHorizon Airlines","Airline","United States","North America","2026-05-19","2026-05-25","2026-05-24","Delivered","On-Time / Early","-1","105522.78"
"15","16","2025-12-13","BlueHorizon Airlines","Airline","United States","North America","2025-12-23","2025-12-30","2026-01-02","Delivered","Late","3","665225.34"
"66","71","2025-09-29","BlueHorizon Airlines","Airline","United States","North America","2025-10-01","2025-10-07","2025-10-06","Delivered","On-Time / Early","-1","303070.87"
"108","114","2026-07-07","BlueHorizon Airlines","Airline","United States","North America","2026-07-16","2026-07-20","2026-07-19","Delivered","On-Time / Early","-1","496227.31"
"156","164","2025-10-26","BlueHorizon Airlines","Airline","United States","North America","2025-11-02","2025-11-07","2025-11-08","Delivered","Late","1","587567.04"
"190","201","2026-02-25","BlueHorizon Airlines","Airline","United States","North America","2026-03-01","2026-03-04","2026-03-02","Delivered","On-Time / Early","-2","673588.37"
"210","224","2025-10-30","BlueHorizon Airlines","Airline","United States","North America","2025-11-01","2025-11-07","2025-11-07","Delivered","On-Time / Early","0","248372.56"
"226","241","2026-04-28","BlueHorizon Airlines","Airline","United States","North America","2026-05-01","2026-05-05","2026-05-05","Delivered","On-Time / Early","0","61684.50"
"311","328","2025-06-26","BlueHorizon Airlines","Airline","United States","North America","2025-07-03","2025-07-08","2025-07-06","Delivered","On-Time / Early","-2","409204.48"
"360","379","2025-07-26","BlueHorizon Airlines","Airline","United States","North America","2025-07-30","2025-08-02","2025-08-01","Delivered","On-Time / Early","-1","177737.46"
"416","440","2025-12-28","BlueHorizon Airlines","Airline","United States","North America","2025-12-30","2026-01-05","2026-01-04","Delivered","On-Time / Early","-1","422029.72"
"498","527","2025-04-26","BlueHorizon Airlines","Airline","United States","North America","2025-05-01","2025-05-04","2025-05-03","Delivered","On-Time / Early","-1","239589.89"
"550","582","2025-11-19","BlueHorizon Airlines","Airline","United States","North America","2025-11-25","2025-12-02","2025-12-05","Delivered","Late","3","37925.20"
"556","589","2025-12-01","BlueHorizon Airlines","Airline","United States","North America","2025-12-07","2025-12-11","2025-12-11","Delivered","On-Time / Early","0","340879.28"
"582","615","2026-07-18","BlueHorizon Airlines","Airline","United States","North America","2026-07-23","2026-07-29","2026-07-29","Delivered","On-Time / Early","0","284021.30"
"589","624","2026-09-20","BlueHorizon Airlines","Airline","United States","North America","2026-09-29","2026-10-05","2026-10-12","Delivered","Late","7","47696.25"
"645","687","2026-04-16","BlueHorizon Airlines","Airline","United States","North America","2026-04-19","2026-04-25","2026-04-24","Delivered","On-Time / Early","-1","86516.02"
"670","715","2025-03-16","BlueHorizon Airlines","Airline","United States","North America","2025-03-21","2025-03-26","2025-03-24","Delivered","On-Time / Early","-2","41393.94"
"671","716","2025-08-09","BlueHorizon Airlines","Airline","United States","North America","2025-08-17","2025-08-23","2025-08-23","Delivered","On-Time / Early","0","96959.52"
