order_id,customer_id,sales_rep_id,order_date,order_status
1,57,12,2025-09-15,Delivered
2,42,10,2025-04-28,Delivered
3,5,2,2025-12-15,Delivered
4,56,12,2025-01-04,Cancelled
5,31,7,2025-07-02,Delivered
6,51,11,2025-11-02,Delivered
7,32,7,2025-06-15,Delivered
8,2,2,2026-05-16,Delivered
9,16,4,2025-11-11,Delivered
10,3,2,2025-03-22,Delivered
11,43,9,2026-06-30,Delivered
12,6,3,2026-07-17,Delivered
13,56,12,2026-03-10,Delivered
14,57,12,2026-02-13,Delivered
15,29,7,2026-06-14,Delivered
16,2,3,2025-12-13,Delivered
17,1,3,2025-08-14,Delivered
18,3,1,2025-08-23,Delivered
19,31,8,2025-03-14,Delivered
20,32,8,2025-08-08,Delivered
21,50,11,2026-04-30,Delivered
22,29,8,2026-11-06,Delivered
23,42,9,2025-02-25,Delivered
24,49,11,2025-12-14,Delivered
25,32,7,2025-07-14,Delivered
26,29,7,2025-10-13,Delivered
27,4,3,2026-07-18,Cancelled
28,57,12,2025-01-16,Delivered
29,30,8,2026-05-13,Delivered
30,20,5,2025-06-18,Delivered
31,18,6,2026-04-11,Cancelled
32,41,10,2026-07-24,Delivered
33,15,4,2025-10-31,Delivered
34,3,2,2026-07-10,Delivered
35,30,7,2026-08-22,Delivered
36,3,1,2026-06-05,Delivered
37,42,9,2025-03-11,Delivered
38,17,6,2026-08-07,Delivered
39,29,8,2025-03-25,Delivered
40,42,10,2025-07-29,Delivered
41,5,3,2026-02-10,Delivered
42,56,12,2025-11-20,Delivered
43,57,12,2026-09-29,Delivered
44,31,7,2025-08-07,Delivered
45,51,11,2025-03-12,Delivered
46,50,11,2026-03-25,Delivered
47,31,8,2026-11-01,Shipped
48,56,12,2025-04-17,Delivered
49,43,9,2025-04-20,Delivered
50,15,5,2026-09-12,Delivered
51,51,11,2026-10-12,Delivered
52,4,2,2025-02-22,Delivered
53,1,1,2025-02-15,Delivered
54,7,2,2025-09-26,Delivered
55,32,7,2026-03-14,Delivered
56,55,12,2026-12-09,Processing
57,32,8,2026-08-20,Delivered
58,20,4,2025-11-12,Delivered
59,42,9,2025-08-04,Delivered
60,51,11,2026-07-28,Cancelled
61,55,12,2025-06-08,Delivered
62,51,11,2025-07-01,Delivered
63,49,11,2025-12-07,Delivered
64,18,6,2025-09-12,Delivered
65,51,11,2025-02-09,Delivered
66,20,4,2026-04-17,Delivered
67,7,2,2026-11-07,Delivered
68,57,12,2025-03-13,Delivered
69,21,6,2026-06-06,Delivered
70,5,2,2025-01-29,Delivered
71,2,3,2025-09-29,Delivered
72,29,7,2025-11-18,Delivered
73,7,1,2026-08-14,Delivered
74,31,7,2025-01-02,Delivered
75,56,12,2025-03-13,Delivered
76,51,11,2026-11-11,Delivered
77,21,5,2026-11-14,Delivered
78,5,2,2026-07-22,Delivered
79,42,9,2026-01-24,Delivered
80,21,4,2025-11-05,Delivered
81,29,8,2025-08-04,Delivered
82,42,10,2026-03-29,Delivered
83,41,10,2025-06-23,Delivered
84,34,7,2026-10-11,Delivered
85,42,9,2025-08-29,Delivered
86,2,1,2025-05-31,Cancelled
87,51,11,2026-09-18,Delivered
88,33,8,2026-10-07,Delivered
89,6,3,2025-09-07,Delivered
90,49,11,2025-04-20,Delivered
91,31,7,2026-12-14,Shipped
92,29,8,2025-05-05,Delivered
93,33,8,2026-07-27,Delivered
94,29,8,2026-06-01,Delivered
95,29,7,2026-05-02,Delivered
96,49,11,2025-10-11,Delivered
97,29,8,2025-10-09,Delivered
98,18,6,2025-12-10,Delivered
99,16,6,2025-06-04,Delivered
100,3,2,2025-08-08,Delivered
101,29,7,2026-04-23,Delivered
102,55,12,2026-02-03,Delivered
103,21,4,2026-08-13,Delivered
104,44,10,2025-11-02,Delivered
105,49,11,2026-07-14,Delivered
106,29,7,2025-10-07,Delivered
107,42,10,2026-11-16,Delivered
108,55,12,2026-04-24,Delivered
109,33,7,2026-08-30,Delivered
110,5,2,2026-03-15,Delivered
111,21,4,2025-09-24,Delivered
112,44,10,2025-12-12,Delivered
113,17,4,2026-03-08,Delivered
114,2,2,2026-07-07,Delivered
115,49,11,2025-03-12,Delivered
116,7,1,2025-09-11,Delivered
117,5,3,2025-09-02,Delivered
118,30,8,2025-08-12,Delivered
119,34,7,2025-06-21,Delivered
120,56,12,2025-06-17,Delivered
121,33,8,2025-11-16,Delivered
122,3,3,2025-07-23,Delivered
123,5,2,2025-09-06,Delivered
124,50,11,2026-09-07,Delivered
125,41,9,2026-03-15,Delivered
126,1,2,2025-12-16,Delivered
127,29,8,2025-04-19,Delivered
128,43,10,2026-04-16,Delivered
129,56,12,2026-06-19,Delivered
130,44,10,2026-07-06,Delivered
131,17,4,2026-08-30,Delivered
132,18,5,2025-03-30,Delivered
133,33,8,2026-04-21,Delivered
134,51,11,2026-05-22,Delivered
135,49,11,2025-12-30,Delivered
136,43,10,2026-09-03,Delivered
137,56,12,2026-06-14,Delivered
138,30,7,2026-02-21,Delivered
139,43,10,2026-10-24,Delivered
140,18,5,2025-04-06,Delivered
141,42,10,2025-11-10,Delivered
142,19,6,2026-06-28,Delivered
143,43,10,2025-12-27,Delivered
144,5,1,2025-08-25,Delivered
145,56,12,2026-07-03,Delivered
146,18,6,2026-05-11,Cancelled
147,33,7,2026-06-22,Delivered
148,16,4,2025-10-31,Delivered
