order_item_id,order_id,order_date,product_id,product_name,product_category,production_lead_days,quantity,unit_price,order_item_value,customer_name,customer_type,country,region_name
"33","17","2025-08-14","20","NexaVolt Power Control Unit","Electrical Systems","35","7","28335.42","198347.94","NorthStar Air Systems","Airline","United States","North America"
"34","17","2025-08-14","12","NexaLock Cargo Door Mechanism","Aircraft Components","45","3","28287.92","84863.76","NorthStar Air Systems","Airline","United States","North America"
"35","17","2025-08-14","22","FlightCell Backup Battery Unit","Electrical Systems","30","5","12475.77","62378.85","NorthStar Air Systems","Airline","United States","North America"
"103","53","2025-02-15","6","NexaVision Cockpit Display Unit","Avionics Systems","65","3","96863.76","290591.28","NorthStar Air Systems","Airline","United States","North America"
"104","53","2025-02-15","12","NexaLock Cargo Door Mechanism","Aircraft Components","45","5","28702.03","143510.15","NorthStar Air Systems","Airline","United States","North America"
"105","53","2025-02-15","11","FlightCore Control Surface Actuator","Aircraft Components","50","1","35660.77","35660.77","NorthStar Air Systems","Airline","United States","North America"
"253","126","2025-12-16","12","NexaLock Cargo Door Mechanism","Aircraft Components","45","1","29261.75","29261.75","NorthStar Air Systems","Airline","United States","North America"
"254","126","2025-12-16","28","FlightPanel Interior Control Module","Cabin Systems","25","5","7703.09","38515.45","NorthStar Air Systems","Airline","United States","North America"
"255","126","2025-12-16","6","NexaVision Cockpit Display Unit","Avionics Systems","65","2","92408.61","184817.22","NorthStar Air Systems","Airline","United States","North America"
"482","238","2026-02-09","1","AeroNav Flight Management Unit","Avionics Systems","60","2","86798.26","173596.52","NorthStar Air Systems","Airline","United States","North America"
"579","289","2025-12-26","1","AeroNav Flight Management Unit","Avionics Systems","60","1","82717.36","82717.36","NorthStar Air Systems","Airline","United States","North America"
"580","289","2025-12-26","10","AeroSeal Hydraulic Valve Assembly","Aircraft Components","35","3","18102.35","54307.05","NorthStar Air Systems","Airline","United States","North America"
"581","289","2025-12-26","28","FlightPanel Interior Control Module","Cabin Systems","25","22","7286.46","160302.12","NorthStar Air Systems","Airline","United States","North America"
"606","300","2025-02-26","1","AeroNav Flight Management Unit","Avionics Systems","60","3","87208.73","261626.19","NorthStar Air Systems","Airline","United States","North America"
"1198","600","2026-01-30","5","FlightGuard Terrain Awareness System","Avionics Systems","55","1","71254.34","71254.34","NorthStar Air Systems","Airline","United States","North America"
"1275","640","2026-02-03","18","EngineGuard Thermal Sensor Module","Engine Components","60","1","75649.21","75649.21","NorthStar Air Systems","Airline","United States","North America"
"1276","640","2026-02-03","28","FlightPanel Interior Control Module","Cabin Systems","25","28","7702.26","215663.28","NorthStar Air Systems","Airline","United States","North America"
"1460","734","2026-06-06","21","SkyWire Electrical Harness System","Electrical Systems","25","2","15258.93","30517.86","NorthStar Air Systems","Airline","United States","North America"
"1742","872","2026-11-30","6","NexaVision Cockpit Display Unit","Avionics Systems","65","3","96830.71","290492.13","NorthStar Air Systems","Airline","United States","North America"
"1796","901","2025-03-01","11","FlightCore Control Surface Actuator","Aircraft Components","50","4","35481.09","141924.36","NorthStar Air Systems","Airline","United States","North America"
"1850","929","2025-01-03","3","Horizon Weather Radar Module","Avionics Systems","45","2","48197.79","96395.58","NorthStar Air Systems","Airline","United States","North America"
"1851","929","2025-01-03","24","PowerLink Generator Control Unit","Electrical Systems","50","3","45636.47","136909.41","NorthStar Air Systems","Airline","United States","North America"
"1866","936","2025-02-16","7","AeroFlex Wing Flap Assembly","Aircraft Components","55","4","43157.04","172628.16","NorthStar Air Systems","Airline","United States","North America"
"1867","936","2025-02-16","23","AeroSwitch Circuit Protection Module","Electrical Systems","20","10","9871.52","98715.20","NorthStar Air Systems","Airline","United States","North America"
"1868","936","2025-02-16","22","FlightCell Backup Battery Unit","Electrical Systems","30","7","12302.92","86120.44","NorthStar Air Systems","Airline","United States","North America"
"1890","947","2025-11-18","8","NexaGear Landing Gear Actuator","Aircraft Components","70","5","66617.30","333086.50","NorthStar Air Systems","Airline","United States","North America"
"1891","947","2025-11-18","9","SkyFrame Structural Support Panel","Aircraft Components","40","4","23711.58","94846.32","NorthStar Air Systems","Airline","United States","North America"
"2221","1112","2026-10-14","13","TurbineCore Compressor Blade Set","Engine Components","90","1","147240.76","147240.76","NorthStar Air Systems","Airline","United States","North America"
"2222","1112","2026-10-14","27","SkyComfort Cabin Air Vent Unit","Cabin Systems","18","29","4863.60","141044.40","NorthStar Air Systems","Airline","United States","North America"
"2223","1112","2026-10-14","26","AeroCabin LED Lighting System","Cabin Systems","20","14","6366.33","89128.62","NorthStar Air Systems","Airline","United States","North America"
"2500","1262","2025-11-06","5","FlightGuard Terrain Awareness System","Avionics Systems","55","2","71141.84","142283.68","NorthStar Air Systems","Airline","United States","North America"
"2501","1262","2025-11-06","4","AeroSense Air Data Computer","Avionics Systems","40","2","38578.07","77156.14","NorthStar Air Systems","Airline","United States","North America"
"2502","1262","2025-11-06","25","NexaSeat Passenger Seat Module","Cabin Systems","30","10","8267.74","82677.40","NorthStar Air Systems","Airline","United States","North America"
"2840","1442","2026-08-20","18","EngineGuard Thermal Sensor Module","Engine Components","60","3","75900.91","227702.73","NorthStar Air Systems","Airline","United States","North America"
"2918","1484","2026-03-22","21","SkyWire Electrical Harness System","Electrical Systems","25","3","14923.25","44769.75","NorthStar Air Systems","Airline","United States","North America"
